item_id,rater,flag,source
MAIN-096,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-077,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-076,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-060,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-057,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-050,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-049,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-047,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-038,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-036,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-035,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-031,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-011,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
MAIN-004,R2,step1_level,"chat reply 21 Sep 2026 07:17 (platform chat), unprompted list requested after ratings were complete"
