sample_id,job_id,model_label,tier,condition,stratum,stratum_population,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
1,913c211d5257,DeepSeek V4 Flash,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,95,75,67.8,1.1
2,3e16b84c30c7,GPT-5.6 Luna,base,plain,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,A,62,9,9,1.1
3,c6e9068dd4e1,Qwen 3.8 Max,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,87,32,24,1.1
4,0063e69e91d8,DeepSeek V4 Pro,flagship,plain,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,B,56,9,9,1.1
5,b77bdfc681ab,Grok 4.6,flagship,guided,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,A,33,7,7.5,1.1
6,7d6cb668c606,Qwen 3.8 Max,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,94,16,17,1.1
7,303e962d1819,GPT-6 Astra,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,116,37,28.2,1.1
8,c46738c912f8,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,5,C,141,108,70.8,1.1
9,faebde466474,DeepSeek V4 Flash,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,44,58,58.2,1.1
10,8ce17c2f8dcd,Claude Opus 5,flagship,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,B,108,151,130.8,1.1
11,aa42ff3c2b2b,Qwen 3.6 27B,base,plain,unflagged,9785,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,C,88,19,24,1.1
12,a15bd7893ac4,Grok 4.6,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,B,79,47,29.2,1.1
13,94735d202247,Claude Fable 5.1,flagship,plain,flagged:nonparallel_options,170,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,B,121,16,28.5,1.1
14,bdd07dbb1ffe,DeepSeek V4 Pro,flagship,plain,flagged:numeric_not_ordered,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,B,97,1,1,1.1
15,8656f08b6d1f,Qwen 3.6 27B,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,86,39,37.2,1.1
16,e949044ffebe,Gemini 3.1 Pro,flagship,guided,flagged:overlapping_options,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,D,116,28,28.5,1.1
17,6ef17870be87,Grok 4.6,flagship,plain,flagged:overlapping_options,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,A,60,11,22,1.1
18,4457a4fdde02,Qwen 3.6 27B,base,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,107,14,23.8,1.1
19,915d4dd17570,GPT-6 Astra,flagship,plain,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,123,30,20.8,1.1
20,acf48bcdd111,Llama 4 Maverick,base,plain,flagged:absolute_terms,265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,39,34,23,1.1
21,acf9fddec6d9,Gemini 3.8 Flash,base,guided,unflagged,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,73,43,45.5,1.1
22,fb334249420f,Mistral Small 2603,base,guided,flagged:clang_cue,686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,E,73,50,37.2,1.1
23,8bcf331b9aa9,Claude Sonnet 5,base,plain,flagged:overlapping_options,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,B,92,10,12,1.1
