job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,temperature,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
57ca038f1ed5,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,psychiatry,1,plain,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,89,10,9.2,1.2
9b7a995d8d7d,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,neurology,0,guided,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,99,32,56.5,1.2
4a2eeac3a98f,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,pathology,1,plain,0,off,,Google,879,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,69,21,16.5,1.2
20801631fffd,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,surgery,1,guided,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,141,50,39,1.2
bc937d9b9c06,meta-llama/llama-4-maverick,Llama 4 Maverick,open,base,surgery,0,plain,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,78,47,32,1.2
916d8b9bc157,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,pharmacology,0,plain,0,off,,Anthropic,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,100,51,50,1.2
588e9d265624,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,obstetrics_gynecology,1,guided,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,78,50,33.8,1.2
85bb6d484a61,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,psychiatry,1,plain,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,123,50,45.8,1.2
41e0c479af8a,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,internal_medicine,0,plain,0,off,,OpenAI,327,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,149,41,32.5,1.2
3bf4f89c0cab,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pathology,1,guided,0,off,,Google,1366,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,93,12,7.5,1.2
2b0bc9ada9ff,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,pediatrics,0,plain,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,D,90,73,53,1.2
43fc062495a2,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,psychiatry,0,plain,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,A,83,66,27.8,1.2
91ad7e40bfa0,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,1,plain,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,110,46,60.2,1.2
