sample_id,job_id,model_label,tier,condition,stratum,stratum_population,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
1,e662cef62f2f,Gemini 3.1 Pro,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,D,110,22,33.2
2,6da5c4f726a0,Qwen 3.6 27B,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,A,51,59,47
3,1e07e7662d4e,DeepSeek V4 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,D,73,32,25
4,7930ea940cc4,Gemini 3.8 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,99,25,31.2
5,5dd49e5bcc7a,Claude Sonnet 5,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,5,B,89,87,42.2
6,1631513e6146,Claude Fable 5.1,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,136,43,53
7,6f6f9de4a4ec,Claude Fable 5.1,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,B,146,67,30.2
8,9a6eacadaca1,Grok 4.6,flagship,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,C,59,57,56.2
9,a5546bcb6791,DeepSeek V4 Flash,base,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,C,57,44,43.5
10,b6631227a645,Gemini 3.1 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,118,36,40.2
