item_id,keyed_answer,q1,q2,q3,q4,q5,justification,minutes,rater,submitted_utc,q1_raw,q2_raw,q3_raw,q4_raw,q5_raw
MAIN-001,A,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-002,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-003,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-004,A,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-005,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-006,A,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-007,D,yes,yes,yes,yes,yes,,7.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-008,C,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-009,A,yes,yes,yes,yes,yes,,7.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-010,A,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-011,C,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-012,A,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-013,B,unsure,no,yes,yes,no,"Choices C and E both are correct. although propranolol and lorazepam are first line, benztropine (Choice C) is used off-label (Source: UWorld Step 2 ck)",7.0,R1,2026-09-17T11:56,unsure,no,yes,yes,no
MAIN-014,A,yes,yes,no,yes,minor edits,"For mild lead elevation 5-44, we remove from house or source and repeat testing, starting from blood lead levels above 45, we begin with chelation therapy. the number in the stem is very borderline (45), a higher number would be suitable for the keyed answer.",7.0,R1,2026-09-17T11:56,yes,yes,no,yes,minor edits
MAIN-015,B,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-016,A,yes,no,yes,yes,minor edits,Choice E is very irrelevant.,7.0,R1,2026-09-17T11:56,yes,no,yes,yes,minor edits
MAIN-017,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-018,A,unsure,yes,yes,yes,no,"If you want A to be uniquely correct, you’d need to add a feature such as significant renal dysfunction, which would make argatroban preferable because it is hepatically cleared whereas bivalirudin requires renal dose consideration. otherwise, A and B both are correct",7.0,R1,2026-09-17T11:56,unsure,yes,yes,yes,no
MAIN-019,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-020,E,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-021,A,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-022,E,unsure,yes,yes,yes,no,Choices C and E both are valid and correct.,4.0,R1,2026-09-17T11:56,unsure,yes,yes,yes,no
MAIN-023,A,no,yes,yes,yes,no,"(added from the rater's chat reply, 17 Sep 07:58) ERCP is not routinely indicated for acute gallstone pancreatitis unless there is concomitant cholangitis or persistent biliary obstruction. The vignette does not provide evidence of either, so the keyed answer is insufficiently supported. The best answer would be supportive care and IV fluids, not listed.",4.0,R1,2026-09-17T11:56,no,yes,yes,yes,no
MAIN-024,C,yes,yes,yes,yes,yes,,3.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-025,E,yes,yes,yes,yes,yes,,4.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
MAIN-026,C,yes,yes,yes,yes,yes,,6.0,R1,2026-09-17T11:56,yes,yes,yes,yes,yes
