job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
485095f8969f,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pediatrics,1,guided_position,0,off,A,OpenAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,74,50,58.8
d822d8e6c34f,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,internal_medicine,1,guided_position,0,off,E,OpenAI,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,E,82,96,46
d077724cc034,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,0,guided_position,0,off,B,Claude Platform on AWS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,82,56,32.2
a30bee64ae86,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,pediatrics,1,guided_position,0,off,A,OpenAI,255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,A,75,33,33.8
8a056fe6ffc7,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,internal_medicine,0,guided_position,0,off,C,OpenAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,105,61,49.8
d2c9670915fe,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,1,guided_position,0,off,D,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,123,42,42.5
3acf4828c67e,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,pediatrics,0,guided_position,0,off,C,OpenAI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,C,78,58,37.2
b64b9222380c,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,internal_medicine,0,guided_position,0,off,E,Google,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,E,117,28,32.5
c31dee22d180,mistralai/mistral-small-2603,Mistral Small 2603,open,base,pediatrics,0,guided_position,0,off,D,Mistral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,D,65,80,48.5
1e30af35da00,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,1,guided_position,0,off,C,Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,69,42,38.5
