job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,temperature,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
9325ee6e341b,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,obstetrics_gynecology,8,guided2,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,50,26,24,1.1
f060611054ba,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,obstetrics_gynecology,16,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,107,47,41.5,1.1
20000a7c0741,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,psychiatry,16,guided2,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,80,64,49.2,1.1
9de0b3a4c711,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,obstetrics_gynecology,14,guided2,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,70,45,41.2,1.1
6dd08661ab15,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,2,guided2,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,73,14,18.2,1.1
9dd99981e2b3,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,surgery,6,guided2,0,off,,Google AI Studio,1593,0.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,C,75,40,35.5,1.1
d822adf80ac0,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,surgery,4,guided2,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,70,51,54.2,1.1
a56309b03b61,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,psychiatry,5,guided2,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,64,22,21.5,1.1
2b883a830dfb,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,surgery,3,guided2,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,138,31,33.5,1.1
02b2aff54dcc,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,pediatrics,3,guided2,0,off,,Google AI Studio,3343,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,116,25,28.5,1.1
9610132b2cdd,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,psychiatry,4,guided2,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,76,14,21.5,1.1
8a62c40af162,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,psychiatry,14,guided2,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,A,127,8,41,1.1
7016042d40f9,mistralai/mistral-small-2603,Mistral Small 2603,open,base,obstetrics_gynecology,4,guided2,0,off,,Mistral,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,71,35,38.5,1.1
8b494b32167f,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,surgery,20,guided2,0,off,,Google,3418,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,85,65,65.2,1.1
5118a916be9f,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,surgery,14,guided2,0,off,,Google,1724,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,65,17,22,1.1
cd9fa8100e18,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,internal_medicine,7,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,76,22,35,1.1
d181da13f47a,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pharmacology,0,guided2,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,50,64,68.2,1.1
df8c4f4dfa88,x-ai/grok-4.6,Grok 4.6,commercial,flagship,psychiatry,14,guided2,0,off,,xAI,2037,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,48,8,21,1.1
43b668e4a80f,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pharmacology,13,guided2,0,off,,xAI,2065,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,30,12,11.8,1.1
a665daeb1955,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pharmacology,0,guided2,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,E,52,29,10.8,1.1
43ef936a05a1,meta-llama/llama-4-maverick,Llama 4 Maverick,open,base,internal_medicine,20,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,58,43,34.8,1.1
6881431c56a7,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,obstetrics_gynecology,12,guided2,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,82,27,21.2,1.1
9bd9c1b06ae3,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,neurology,22,guided2,0,off,,Google AI Studio,2429,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,93,21,22.2,1.1
9db391989057,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,surgery,15,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,77,19,25.8,1.1
3ead71915929,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,obstetrics_gynecology,7,guided2,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,61,37,43.5,1.1
9bada9f1a50a,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,pediatrics,9,guided2,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,134,25,31,1.1
aa7e3e94bf29,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,surgery,9,guided2,0,off,,OpenAI,832,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,83,27,50.5,1.1
4f01bf17b409,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,internal_medicine,16,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,C,61,36,31.8,1.1
f8464214e9d6,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,surgery,8,guided2,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,56,29,30,1.1
e0485c0b2297,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pharmacology,13,guided2,0,off,,Google,3510,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,63,34,32.2,1.1
7cbe86eb6761,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,pediatrics,22,guided2,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,C,56,65,53,1.1
ba79aa707787,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,internal_medicine,1,guided2,0,off,,Anthropic,778,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,107,23,22,1.1
fb46fafdc3b2,x-ai/grok-4.6,Grok 4.6,commercial,flagship,psychiatry,7,guided2,0,off,,xAI,1594,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,35,9,11,1.1
59482e2143a1,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,pediatrics,12,guided2,0,off,,Google,2259,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,79,29,31.8,1.1
2e6fd23b8751,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,psychiatry,7,guided2,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,59,9,12.2,1.1
17859296deeb,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,surgery,24,guided2,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,92,37,28.8,1.1
c0dfbc22d9a7,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,psychiatry,24,guided2,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,109,86,40,1.1
