job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
e56e382bb1f6,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,pediatrics,0,guided,0,on,,OpenAI,516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,E,54,48,37.5
b63a76e9e38d,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,1,guided,0,on,,Claude Platform on AWS,684,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,71,45,21.5
c5e97eff7695,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,1,plain,0,on,,Claude Platform on AWS,156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,98,63,54.2
2ad189fbf18e,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,internal_medicine,1,plain,0,on,,Claude Platform on AWS,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,B,98,116,69.2
68fa11aef4bc,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,pediatrics,1,plain,0,on,,OpenAI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,B,74,87,61.5
c48989999c58,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,pediatrics,0,plain,0,on,,SiliconFlow,1571,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,C,91,54,24.5
f8c36de6d026,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,internal_medicine,1,plain,0,on,,OpenAI,113,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,B,74,104,63.8
43103cc2ca17,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,0,plain,0,on,,Claude Platform on AWS,13,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,5,D,101,79,30.5
c0c43ac0c9a1,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,pediatrics,1,guided,0,on,,OpenAI,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,48,31,35.2
6cc526b3fe2d,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,pediatrics,1,plain,0,on,,SiliconFlow,2492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,128,18,28.5
da92f737b503,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,internal_medicine,1,guided,0,on,,OpenAI,358,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,D,46,66,32.5
9253df0be5b2,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pediatrics,1,guided,0,on,,OpenAI,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,66,55,37.5
796e0e2365a9,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,internal_medicine,1,guided,0,on,,SiliconFlow,2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,79,7,11
2bc993136131,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pediatrics,1,plain,0,on,,OpenAI,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,71,52,38.5
