job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
8f8d05f230f4,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,0,plain,0,off,,Alibaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,95,29,31.8
1821b3edf147,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,0,plain,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,169,46,38.5
628cfb60de08,x-ai/grok-4.6,Grok 4.6,commercial,flagship,internal_medicine,1,plain,0,off,,xAI,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,88,27,32
391a45dd4a27,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,internal_medicine,0,guided,0,off,,OpenAI,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,123,36,37
f5c189f3c6e3,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,internal_medicine,1,guided,0,off,,GMICloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,90,23,21.5
b0a03718891d,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pediatrics,0,plain,0,off,,Alibaba,780,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,E,102,59,30.5
eeac6ce83ed6,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,internal_medicine,0,plain,0,off,,OpenAI,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,141,41,27.5
16483fdba11a,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,pediatrics,0,guided,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,128,48,37.5
b8aa269b82e3,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,pediatrics,0,plain,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,128,61,52.2
2868726de9c3,openai/gpt-6-astra,GPT-6 Astra,commercial,flagship,internal_medicine,1,guided,0,off,,OpenAI,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,86,31,30.2
7d8b046365dd,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,pediatrics,1,plain,0,off,,Claude Platform on AWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,148,75,77.2
4c58f014bcc0,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,internal_medicine,0,guided,0,off,,Google,2952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,105,12,10.5
