job_id,model_id,model_label,family,tier,specialty,topic_index,condition,rep,reasoning_mode,target_position,provider,reasoning_tokens,temperature,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars,detector_version
9c8be581c324,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,neurology,3,plain_rotated,0,off,E,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,76,10,13.2,1.2
bf71bf131bed,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pharmacology,2,plain_neutral,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,48,27,30,1.2
cb741ead54dc,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,obstetrics_gynecology,3,plain_rotated,0,off,D,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,82,46,39,1.2
0826aed31c18,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,neurology,2,plain_neutral,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,A,71,70,34.2,1.2
90e40ccbcfaf,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,obstetrics_gynecology,0,plain_neutral,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,B,76,123,69.8,1.2
613de87202fc,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pharmacology,4,plain_neutral,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,95,54,64.8,1.2
fb694335190b,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,obstetrics_gynecology,2,plain_neutral,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,95,30,44.2,1.2
76c4c5964669,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,neurology,1,plain_neutral,0,off,,Google,1849,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,98,30,29.8,1.2
59415d556c1b,anthropic/claude-fable-5.1,Claude Fable 5.1,commercial,flagship,surgery,4,plain_neutral,0,off,,Anthropic,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,B,151,68,54,1.2
62f2cb61a08b,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,internal_medicine,2,plain_rotated,0,off,C,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,161,17,25.5,1.2
0af6b347956d,meta-llama/llama-4-maverick,Llama 4 Maverick,open,base,neurology,1,plain_neutral,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,55,35,27,1.2
cf5339ea4d74,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pathology,3,plain_neutral,0,off,,Alibaba,759,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,82,14,28.2,1.2
6af00229817e,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,psychiatry,3,plain_neutral,0,off,,Alibaba,586,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,72,12,10,1.2
59a32b159bf2,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,psychiatry,0,plain_neutral,0,off,,Google,1272,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,97,10,9.8,1.2
92bfaa319b7b,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pediatrics,1,plain_rotated,0,off,A,Alibaba,853,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,95,29,31.2,1.2
558d90be64b0,openai/gpt-5.6-terra,GPT-5.6 Terra,commercial,base,psychiatry,4,plain_neutral,0,off,,OpenAI,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,D,118,14,21.5,1.2
a9c23cdf0f69,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,pediatrics,1,plain_neutral,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,89,18,22,1.2
1dd730512243,x-ai/grok-4.6,Grok 4.6,commercial,flagship,obstetrics_gynecology,4,plain_neutral,0,off,,xAI,1753,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,80,23,15.5,1.2
41b0f53a3f80,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,open,base,internal_medicine,3,plain_neutral,0,off,,DeepInfra,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,5,C,76,17,23,1.2
4126f4ebd3f5,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,obstetrics_gynecology,4,plain_rotated,0,off,A,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,79,40,33,1.2
5a948dffa94a,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pharmacology,3,plain_neutral,0,off,,xAI,1208,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,C,63,8,24,1.2
301cd4b3faee,mistralai/mistral-small-2603,Mistral Small 2603,open,base,pharmacology,4,plain_neutral,0,off,,Mistral,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,79,16,30.8,1.2
4159df357b0b,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,psychiatry,2,plain_rotated,0,off,C,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,5,C,166,81,36.8,1.2
0f992e680141,meta-llama/llama-4-maverick,Llama 4 Maverick,open,base,neurology,0,plain_rotated,0,off,E,DeepInfra,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,49,42,42,1.2
c38ae65ee77f,qwen/qwen3.8-max-0902,Qwen 3.8 Max,commercial,flagship,pathology,1,plain_rotated,0,off,A,Alibaba,474,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,62,12,18.8,1.2
309a6eb9a722,qwen/qwen3.6-27b,Qwen 3.6 27B,open,base,internal_medicine,2,plain_neutral,0,off,,SiliconFlow,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,93,18,34,1.2
fb3da4060ccf,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,internal_medicine,2,plain_rotated,0,off,A,Google,1383,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,A,138,13,12,1.2
c1fc6ffe0337,mistralai/mistral-small-2603,Mistral Small 2603,open,base,pediatrics,1,plain_rotated,0,off,D,Mistral,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,70,47,58.5,1.2
23d44052dff2,anthropic/claude-sonnet-5,Claude Sonnet 5,commercial,base,pediatrics,1,plain_neutral,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,93,110,70.8,1.2
7a59401fabce,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,pathology,0,plain_rotated,0,off,B,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,61,56,53.8,1.2
f15de8e75ef5,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,open,flagship,psychiatry,0,plain_neutral,0,off,,GMICloud,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,58,10,9.2,1.2
5d0bcad7128b,anthropic/claude-opus-5,Claude Opus 5,commercial,flagship,psychiatry,4,plain_neutral,0,off,,Claude Platform on AWS,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,160,14,27.2,1.2
2031b31b032d,x-ai/grok-4.6,Grok 4.6,commercial,flagship,pathology,0,plain_rotated,0,off,C,xAI,2124,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,46,52,46.8,1.2
38c3ebcd81f0,google/gemini-3.1-pro-preview,Gemini 3.1 Pro,commercial,flagship,neurology,1,plain_neutral,0,off,,Google,2028,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,110,30,28,1.2
d23d5b576560,google/gemini-3.8-flash,Gemini 3.8 Flash,commercial,base,obstetrics_gynecology,0,plain_neutral,0,off,,Google,1597,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,117,79,80,1.2
37fab890e6f7,openai/gpt-5.6-luna,GPT-5.6 Luna,commercial,base,internal_medicine,3,plain_rotated,0,off,E,OpenAI,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,E,80,13,10.8,1.2
